date,open,high,low,close,volume,target
2017-01-03,0.008518,0.02425,0.003998,1.809998,20663900.0,0.015732
2017-01-04,0.005905,0.02396,0.00368,1.830002,19630900.0,0.01566
2017-01-05,0.001432,0.019041,-0.003117,1.979996,19492200.0,0.016682
2017-01-06,0.002569,0.026601,-0.005304,2.740005,28545300.0,0.022707
2017-01-09,0.001134,0.016368,-0.002998,1.489998,22880400.0,0.012074
2017-01-10,-0.000641,0.004804,-0.004964,-0.550003,17324600.0,-0.004404
2017-01-11,0.0,0.014234,-0.002332,1.739998,18356500.0,0.013993
2017-01-12,-0.003807,0.005076,-0.010231,0.530006,18653900.0,0.004203
2017-01-13,0.006871,0.020929,0.005923,1.719994,24884300.0,0.013584
2017-01-17,-0.002338,0.0,-0.007324,-0.469994,15294500.0,-0.003662
2017-01-18,0.004223,0.004379,-0.008055,0.049995,13145900.0,0.000391
2017-01-19,0.002423,0.003362,-0.003674,-0.369995,12195500.0,-0.002892
2017-01-20,0.004312,0.007291,-0.006037,-0.510002,19097200.0,-0.003998
2017-01-23,0.002125,0.017396,-0.000708,1.889992,16593600.0,0.014877
2017-01-24,0.00349,0.007523,-0.004266,0.440002,15162700.0,0.003413
2017-01-25,0.00487,0.01832,0.003092,2.110001,18731300.0,0.01631
2017-01-26,0.001141,0.012626,-0.000304,1.300003,20020100.0,0.009887
2017-01-27,-0.000753,0.00128,-0.012803,-0.600006,19539500.0,-0.004519
2017-01-30,-0.004539,-0.004539,-0.019519,-1.199997,18956100.0,-0.009079
2017-01-31,-0.006184,-0.002443,-0.011147,-0.659988,19790500.0,-0.005039
2017-02-01,0.01481,0.024325,0.002762,2.909988,50139800.0,0.02233
2017-02-02,-7.5e-05,0.016963,-0.021241,-2.389999,54366400.0,-0.017939
2017-02-03,0.003057,0.015362,-0.000611,0.139999,24804900.0,0.00107
2017-02-06,0.0,0.008246,-0.005192,1.080002,17058500.0,0.008246
2017-02-07,0.001363,0.007118,-0.003029,-0.220001,14596400.0,-0.001666
2017-02-08,0.005765,0.019721,0.004551,2.360001,22390600.0,0.0179
2017-02-09,0.002161,0.002235,-0.006632,-0.059998,16470600.0,-0.000447
2017-02-10,-0.000298,0.005964,-0.003429,0.050003,15061900.0,0.000373
2017-02-13,0.003801,0.003801,-0.003652,-0.139999,13526200.0,-0.001043
2017-02-14,0.000373,0.001343,-0.01119,-0.199997,14364900.0,-0.001492
2017-02-15,-0.002988,-0.001121,-0.008891,-0.410004,13226500.0,-0.003063
2017-02-16,-0.002773,0.003222,-0.003147,0.399994,12831100.0,0.002998
2017-02-17,-0.00254,0.001868,-0.005006,-0.309998,12276500.0,-0.002316
2017-02-21,-0.000225,0.002846,-0.004718,0.190002,14759100.0,0.001423
2017-02-22,-0.000897,0.022958,-0.001944,2.399994,27360100.0,0.017948
2017-02-23,-0.00169,0.0,-0.01315,-0.759995,18422500.0,-0.005583
2017-02-24,-0.008865,0.001921,-0.008865,0.080002,12625700.0,0.000591
2017-02-27,-0.001329,0.012847,-0.003101,0.970001,14306700.0,0.007162
2017-02-28,0.002786,0.002932,-0.012169,-0.87001,16112100.0,-0.006378
2017-03-01,0.006862,0.014313,0.005607,1.880005,16257000.0,0.01387
2017-03-02,-0.002401,0.002911,-0.008077,-0.660004,12294800.0,-0.004803
2017-03-03,-0.00095,0.004168,-0.004972,0.410004,11160600.0,0.002998
2017-03-06,-0.002114,0.004812,-0.004812,0.25,12748200.0,0.001823
2017-03-07,-0.002838,0.006913,-0.003129,-0.119995,13527100.0,-0.000873
2017-03-08,-0.001093,0.005026,-0.001821,0.419998,10184500.0,0.003059
2017-03-09,0.0,0.006172,-0.002324,0.520004,15535300.0,0.003776
2017-03-10,0.004847,0.009042,-0.000145,0.549988,16314100.0,0.003978
2017-03-13,-0.000576,0.006413,-0.000865,0.810013,10955500.0,0.005836
2017-03-14,-0.001003,-0.001003,-0.007736,-0.279999,12944000.0,-0.002006
2017-03-15,-0.000215,0.005599,-0.005958,0.399994,19344800.0,0.002871
2017-03-16,0.003435,0.003793,7.2e-05,0.270004,13612900.0,0.001932
2017-03-17,0.0025,0.0025,-0.002072,-0.150009,20592800.0,-0.001072
2017-03-20,-0.00093,0.002503,-0.004219,0.100006,12099500.0,0.000715
2017-03-21,0.008647,0.016936,-0.011005,-1.430008,29894800.0,-0.010219
2017-03-22,-0.004187,0.009241,-0.00657,1.080002,17055400.0,0.007797
2017-03-23,-0.000788,0.005731,-0.003582,-0.059998,13022800.0,-0.00043
2017-03-24,0.003942,0.010679,0.001648,0.809998,16664700.0,0.005805
2017-03-27,-0.009192,0.002209,-0.011187,-0.019989,12800500.0,-0.000142
2017-03-28,0.000285,0.011616,-0.002209,1.439987,14679400.0,0.010262
2017-03-29,0.001623,0.00776,-0.002328,0.889999,16527600.0,0.006278
2017-03-30,-0.001753,0.002103,-0.005608,-0.23999,12404000.0,-0.001682
2017-03-31,-0.000702,0.001545,-0.003651,-0.360001,11478300.0,-0.002528
2017-04-03,-0.000845,0.002957,-0.008659,0.229996,13564000.0,0.001619
2017-04-04,-0.002952,-0.001335,-0.007099,-0.550003,12948600.0,-0.003866
2017-04-05,0.003739,0.012065,-0.003105,0.12001,17158100.0,0.000847
2017-04-06,0.001833,0.002608,-0.006627,-0.680008,15103400.0,-0.004794
2017-04-07,0.000213,0.002692,-0.006588,-0.389999,11818300.0,-0.002763
2017-04-10,0.001563,0.004617,-0.001065,0.259995,9039400.0,0.001847
2017-04-11,-0.001702,-7.1e-05,-0.015811,-1.119995,16638100.0,-0.007941
2017-04-12,-0.001429,0.003431,-0.003431,-0.339996,11612500.0,-0.00243
2017-04-13,0.000287,0.007164,-0.001791,-0.190002,10965600.0,-0.001361
2017-04-17,0.002654,0.015496,0.002583,2.029999,11519700.0,0.014563
2017-04-18,-0.001061,0.003465,-0.005728,-0.459991,14807500.0,-0.003253
2017-04-19,0.002767,0.014756,0.002199,1.309998,15563900.0,0.009293
2017-04-20,0.00478,0.013917,0.002952,1.529999,15968200.0,0.010754
2017-04-21,0.000695,0.002573,-0.01064,-0.12001,12382000.0,-0.000835
2017-04-24,0.008909,0.01385,0.004594,1.790009,14407200.0,0.012458
2017-04-25,0.0022,0.011549,0.0022,1.020004,17767500.0,0.007012
2017-04-26,0.004096,0.007509,-0.002731,0.069992,12395000.0,0.000478
2017-04-27,0.000751,0.00812,-0.002866,1.139999,11275100.0,0.007778
2017-04-28,0.012187,0.025931,0.009276,2.550003,30652200.0,0.017265
2017-05-01,0.009917,0.015441,0.007787,2.210007,25218300.0,0.014709
2017-05-02,0.005772,0.006428,-0.005247,0.319992,21870400.0,0.002099
2017-05-03,0.005367,0.005367,-0.009425,-0.979996,29782500.0,-0.006414
2017-05-04,-0.010738,-0.001845,-0.02029,-0.949997,36225500.0,-0.006258
2017-05-05,0.003977,0.005171,-0.007027,-0.610001,17148500.0,-0.004044
2017-05-08,0.003128,0.005591,-0.003328,0.819992,15827500.0,0.005458
2017-05-09,0.002847,0.010128,-0.005627,-0.580002,17453900.0,-0.00384
2017-05-10,-0.001661,0.000266,-0.010766,-0.190002,12080700.0,-0.001263
2017-05-11,0.000133,0.002395,-0.005855,-0.25,11841900.0,-0.001663
2017-05-12,0.002399,0.002799,-0.002733,0.290009,9598200.0,0.001933
2017-05-15,-0.001064,0.00765,-0.003725,-0.139999,15064700.0,-0.000931
2017-05-16,-0.000533,0.000133,-0.007724,-0.410004,14550800.0,-0.00273
2017-05-17,-0.011884,-0.007411,-0.035786,-4.929993,28300100.0,-0.032915
2017-05-18,-0.000898,0.022782,-0.002347,2.809998,23031600.0,0.019399
2017-05-19,0.00535,0.011716,0.002032,0.399994,16187900.0,0.002709
2017-05-22,0.000135,0.00358,-0.002499,0.180008,12586700.0,0.001216
2017-05-23,0.001889,0.003845,-0.006678,-0.169998,12817800.0,-0.001147
2017-05-24,0.002971,0.014588,0.002364,1.969986,17862400.0,0.013304
2017-05-25,0.001733,0.016995,-0.0006,1.920013,19891400.0,0.012797
2017-05-26,0.001777,0.001908,-0.00533,0.169998,14996200.0,0.001119
2017-05-30,-0.001052,0.005061,-0.003221,0.25,13226000.0,0.001643
2017-05-31,0.0021,0.006366,-0.008466,-0.919998,18023900.0,-0.006038
2017-06-01,0.001915,0.00548,-0.007659,0.069992,14530600.0,0.000462
2017-06-02,0.002112,0.013859,-0.001518,2.080002,16854400.0,0.013727
2017-06-05,0.000195,0.007161,-0.001302,0.020004,12520400.0,0.00013
2017-06-06,-0.001432,0.005793,-0.007486,-0.820007,13457100.0,-0.005338
2017-06-07,0.00301,0.006151,-0.003076,0.309998,12066700.0,0.002029
2017-06-08,0.00627,0.010515,-0.000131,1.590012,17799400.0,0.010384
2017-06-09,0.000388,0.005688,-0.052356,-5.110001,35577700.0,-0.03303
2017-06-12,-0.009559,-0.002674,-0.03369,-1.160004,33170200.0,-0.007754
2017-06-13,0.01152,0.018459,0.003099,2.23999,20483400.0,0.01509
2017-06-14,0.003849,0.011415,-0.010818,-0.429993,20808800.0,-0.002854
2017-06-15,-0.017171,-0.001398,-0.025824,-0.449997,18994200.0,-0.002995
2017-06-16,-0.001402,0.006876,-0.008011,0.839996,22882400.0,0.005607
2017-06-19,0.007103,0.01945,0.007103,2.229996,19026500.0,0.014803
