date,open,high,low,close,volume,target
2020-01-02,0.073192,0.083879,0.06647,5.997589,2032900.0,0.020157
2020-01-03,0.046024,0.054227,0.034724,-7.720581,2287000.0,-0.025435
2020-01-06,0.05081,0.061188,0.046686,-0.442505,2078900.0,-0.001496
2020-01-07,0.06728,0.071783,0.057124,-1.016846,1856500.0,-0.003443
2020-01-08,0.063256,0.064988,0.04773,-3.672028,3197900.0,-0.012475
2020-01-09,0.074416,0.076721,0.042526,-2.33493,4239700.0,-0.008032
2020-01-10,0.059292,0.059638,0.036229,-6.628387,4070500.0,-0.022987
2020-01-13,0.06494,0.078358,0.063698,1.845398,2205400.0,0.00655
2020-01-14,0.064992,0.090206,0.063546,6.590698,2891100.0,0.023242
2020-01-15,0.059102,0.061067,0.036322,-4.74527,2273300.0,-0.016354
2020-01-16,0.068617,0.078638,0.065849,3.681335,2150800.0,0.012898
2020-01-17,0.06767,0.068638,0.051793,1.638306,2689600.0,0.005667
2020-01-21,0.058695,0.064577,0.053639,-0.677948,2196700.0,-0.002332
2020-01-22,0.071513,0.09606,0.070478,4.613525,2926400.0,0.015906
2020-01-23,0.0696,0.085279,0.054804,6.289398,3026600.0,0.021344
2020-01-24,0.098152,0.10174,0.065822,4.095673,5578200.0,0.013609
2020-01-27,0.03722,0.048595,0.011749,-14.094696,3884300.0,-0.046204
2020-01-28,0.077567,0.097157,0.074954,8.737427,2316600.0,0.03003
2020-01-29,0.070476,0.085858,0.058197,-0.753235,2366800.0,-0.002513
2020-01-30,0.05143,0.055444,0.032262,-2.174957,2112800.0,-0.007275
2020-01-31,0.058596,0.060011,0.023081,-9.452942,2212300.0,-0.031853
2020-02-03,0.063736,0.067112,0.05681,0.065887,2128800.0,0.000229
2020-02-04,0.084927,0.094601,0.077481,5.997528,2255900.0,0.020869
2020-02-05,0.082211,0.090085,0.076621,5.442078,2482500.0,0.01855
2020-02-06,0.066986,0.070467,0.051559,2.174896,2268300.0,0.007278
2020-02-07,0.057549,0.058214,0.046087,-4.199158,1588300.0,-0.013951
2020-02-10,0.052464,0.059978,0.04549,-0.969788,1921800.0,-0.003267
2020-02-11,0.070382,0.084377,0.068219,5.611511,1552700.0,0.018969
2020-02-12,0.068337,0.078455,0.066977,4.274536,1531000.0,0.01418
2020-02-13,0.051568,0.064586,0.049834,-0.687317,1385700.0,-0.002248
2020-02-14,0.064953,0.067772,0.039578,-5.837494,1913700.0,-0.019138
2020-02-18,0.052842,0.052876,0.029613,-6.609558,2669300.0,-0.022091
2020-02-19,0.069791,0.082881,0.065348,4.651184,2052500.0,0.015897
2020-02-20,0.05628,0.062101,0.029903,-6.072906,2552100.0,-0.020432
2020-02-21,0.059559,0.062822,0.038231,-4.462799,2452200.0,-0.015328
2020-02-24,0.026174,0.042219,0.011734,-12.145752,3684900.0,-0.042365
2020-02-25,0.071243,0.077143,0.023747,-8.398468,3189200.0,-0.03059
2020-02-26,0.068375,0.082841,0.06706,3.012939,2307400.0,0.01132
2020-02-27,0.04137,0.059983,0.016255,-11.232513,3483700.0,-0.041731
2020-02-28,0.020927,0.062798,0.01864,-1.252197,4458600.0,-0.004855
2020-03-02,0.07823,0.11189,0.056373,11.627869,3197600.0,0.045301
2020-03-03,0.060908,0.075183,0.012158,-10.093201,2993000.0,-0.037618
2020-03-04,0.074842,0.106521,0.064114,10.545135,2347700.0,0.040839
2020-03-05,0.031627,0.053319,0.01373,-10.742859,2437400.0,-0.039972
2020-03-06,0.034738,0.050047,0.017375,-4.321625,3016900.0,-0.016749
2020-03-09,-0.010309,0.025915,-0.037231,-20.459457,4393400.0,-0.080646
2020-03-10,0.100131,0.130529,0.043579,14.292419,5507100.0,0.061279
2020-03-11,0.02566,0.036205,-0.020355,-15.940094,3603000.0,-0.064397
2020-03-12,-0.019855,0.04824,-0.065928,-25.600204,6428100.0,-0.110542
2020-03-13,0.094772,0.13827,-0.023438,14.537231,8471400.0,0.070573
2020-03-16,-0.055981,-0.007823,-0.182724,-43.912979,7693500.0,-0.199129
2020-03-17,0.086108,0.132481,0.027562,11.232452,7066200.0,0.063599
2020-03-18,-0.011631,-0.001942,-0.171284,-29.790039,9899300.0,-0.158589
2020-03-19,0.060645,0.312647,0.043942,25.025894,7443800.0,0.158337
2020-03-20,0.103339,0.139826,0.026379,0.976685,7404400.0,0.005335
2020-03-23,0.047935,0.064723,-0.034268,1.196899,4692100.0,0.006503
2020-03-24,0.110042,0.180594,0.086561,18.47084,6297000.0,0.099705
2020-03-25,0.041551,0.197693,0.026973,4.586624,6444200.0,0.022514
2020-03-26,0.085057,0.175162,0.085057,24.531998,6021300.0,0.117766
2020-03-27,0.000672,0.039711,-0.012213,-11.950012,3944800.0,-0.051322
2020-03-30,0.051185,0.092653,0.034163,9.019943,5234300.0,0.040834
2020-03-31,0.035172,0.099152,0.026734,-2.882156,5019100.0,-0.012536
2020-04-01,0.004222,0.0325,-0.032381,-12.89798,4185800.0,-0.056811
2020-04-02,0.038605,0.111223,0.034168,12.859665,4504900.0,0.060054
2020-04-03,0.042499,0.068535,0.01567,-2.681091,2896000.0,-0.011811
2020-04-06,0.090356,0.129721,0.085809,17.40799,3886800.0,0.077606
2020-04-07,0.083237,0.098378,0.044721,0.794754,4589200.0,0.003288
2020-04-08,0.058781,0.081171,0.045875,7.497498,2756500.0,0.030916
2020-04-09,0.063108,0.069948,0.005191,-6.51123,3482800.0,-0.026044
2020-04-13,0.041063,0.074,0.038189,5.381348,2572900.0,0.0221
2020-04-14,0.06926,0.078341,0.053992,7.382584,2309400.0,0.029663
2020-04-15,0.018477,0.023628,-0.00041,-9.757294,2592600.0,-0.038075
2020-04-16,0.061874,0.061874,0.03084,0.813919,2689600.0,0.003302
2020-04-17,0.064282,0.081305,0.046977,7.267715,3408900.0,0.029386
2020-04-20,0.021253,0.041913,0.013043,-7.277283,2380100.0,-0.028584
2020-04-21,0.029307,0.030237,-0.00207,-10.178604,2913800.0,-0.041157
2020-04-22,0.074374,0.105791,0.05738,11.796829,3543800.0,0.049748
2020-04-23,0.045474,0.065359,0.038524,-0.99585,2165900.0,-0.004001
2020-04-24,0.047898,0.069114,0.044147,5.630295,2337300.0,0.022709
2020-04-27,0.042535,0.069628,0.042535,3.485458,1658800.0,0.013746
2020-04-28,0.066874,0.075316,0.027504,-3.562042,1898800.0,-0.013857
2020-04-29,0.069399,0.092714,0.062101,10.810547,2887100.0,0.042647
2020-04-30,0.034928,0.036895,0.017031,-4.213135,2337900.0,-0.015941
2020-05-01,0.022741,0.029854,-0.00725,-11.413818,2683600.0,-0.043885
2020-05-04,0.042378,0.055327,0.026735,2.451294,1704600.0,0.009858
2020-05-05,0.061432,0.070949,0.050123,2.499176,2646200.0,0.009952
2020-05-06,0.057991,0.066468,0.03942,-0.660721,2272700.0,-0.002605
2020-05-07,0.067356,0.069214,0.051544,3.418442,1823800.0,0.013514
2020-05-08,0.061706,0.074772,0.053242,6.970825,1675700.0,0.027189
2020-05-11,0.038045,0.050842,0.031894,0.354279,2085100.0,0.001345
2020-05-12,0.048823,0.053147,0.017121,-6.654846,1876400.0,-0.025236
2020-05-13,0.050651,0.051662,0.008986,-5.074936,2192700.0,-0.019743
2020-05-14,0.035657,0.05943,0.011012,3.303452,1991200.0,0.01311
2020-05-15,0.016223,0.034399,0.005842,-5.927094,2165000.0,-0.023218
2020-05-18,0.077274,0.109799,0.074788,12.562866,2653100.0,0.050382
2020-05-19,0.044349,0.053894,0.037018,-1.512909,1870200.0,-0.005776
2020-05-20,0.063627,0.080293,0.060209,6.444153,1860500.0,0.024747
2020-05-21,0.045248,0.047422,0.029247,-3.71521,1484700.0,-0.013923
2020-05-22,0.04032,0.05366,0.028045,1.771454,1745200.0,0.006732
2020-05-26,0.07587,0.08376,0.062242,5.141907,2357300.0,0.019411
2020-05-27,0.048052,0.065753,0.036869,5.333527,2281200.0,0.019751
2020-05-28,0.034944,0.050558,0.025611,-4.260986,1854300.0,-0.015473
2020-05-29,0.043463,0.077028,0.039812,7.784698,2730000.0,0.028713
2020-06-01,0.041301,0.043739,0.030365,-1.225647,1844400.0,-0.004395
2020-06-02,0.048094,0.074348,0.044709,7.727295,3184700.0,0.027829
2020-06-03,0.054825,0.089163,0.052933,10.982941,3192600.0,0.038482
2020-06-04,0.031595,0.056057,0.01928,-0.612823,3499700.0,-0.002068
